,time,assetCode,assetName,volume,open,close,result,binary_result,provider,sentimentClass,sentimentNegative,sentimentNeutral,sentimentPositive,urgency,firstMentionSentence,bodySize,wordCount,sentenceCount
0,2007-02-05,A.N,Agilent Technologies Inc,2512100.0,31.64,31.83,0.18999999999999773,1.0,BSW,1.0,0.0796985,0.271277,0.649025,3.0,1.0,5393.0,843.0,34.0
3,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,PRN,1.0,0.12338800000000001,0.16172999999999998,0.714882,3.0,1.0,1757.0,352.0,17.0
4,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,RTRS,1.0,0.029521600000000002,0.11703699999999999,0.853441,1.0,1.0,0.0,13.0,1.0
5,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,RTRS,-1.0,0.419389,0.163392,0.41721899999999995,1.0,1.0,0.0,37.0,1.0
6,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,RTRS,-1.0,0.386227,0.355714,0.25805900000000004,1.0,1.0,0.0,24.0,1.0
7,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,RTRS,0.0,0.31056100000000003,0.377884,0.311555,3.0,1.0,1038.0,207.0,7.0
8,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,PRN,0.0,0.16633599999999998,0.621394,0.21227,3.0,18.0,4106.0,688.0,23.0
9,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,RTRS,1.0,0.29985,0.17291700000000002,0.527234,3.0,1.0,2138.0,413.0,14.0
10,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,PRN,1.0,0.00910061,0.46103900000000003,0.5298609999999999,3.0,1.0,2593.0,450.0,24.0
11,2007-02-05,AAPL.O,Apple Inc,20737742.0,84.3,83.94,-0.35999999999999943,0.0,RTRS,1.0,0.380315,0.167517,0.452168,3.0,1.0,3490.0,664.0,25.0
12,2007-02-05,ABB.N,ABB Ltd,1340200.0,18.11,18.07,-0.03999999999999915,0.0,RTRS,0.0,0.0109845,0.784695,0.20432,3.0,1.0,822.0,154.0,7.0
13,2007-02-05,ABC.N,AmerisourceBergen Corp,854300.0,52.29,52.5,0.21000000000000085,1.0,BSW,0.0,0.170948,0.577105,0.251948,3.0,1.0,14062.0,2179.0,79.0
22,2007-02-05,ACS.N,Affiliated Computer Services Inc,492100.0,49.42,49.42,0.0,1.0,PRN,1.0,0.0637615,0.142596,0.793642,3.0,1.0,4542.0,758.0,30.0
26,2007-02-05,ADBE.O,Adobe Systems Inc,3153208.0,39.04,38.44,-0.6000000000000014,0.0,PRN,1.0,0.0747202,0.298667,0.626612,3.0,1.0,5385.0,877.0,28.0
27,2007-02-05,ADBE.O,Adobe Systems Inc,3153208.0,39.04,38.44,-0.6000000000000014,0.0,BSW,0.0,0.181411,0.606248,0.21234099999999997,3.0,1.0,1757.0,275.0,10.0
29,2007-02-05,ADI.N,Analog Devices Inc,2989200.0,33.37,33.19,-0.17999999999999972,0.0,RTRS,0.0,0.326613,0.337638,0.33575,3.0,18.0,2977.0,554.0,20.0
30,2007-02-05,ADM.N,Archer Daniels Midland Co,10507600.0,35.35,34.67,-0.6799999999999997,0.0,RTRS,1.0,0.0328892,0.201627,0.765484,3.0,11.0,3236.0,594.0,24.0
31,2007-02-05,ADP.N,Automatic Data Processing Inc,2308700.0,48.8,49.11,0.3100000000000023,1.0,PRN,1.0,0.0633528,0.141425,0.795222,3.0,1.0,3559.0,620.0,39.0
